Country,State,County,Location,Population
US,Illinois,Adams,US:Illinois:Adams,67130
US,Indiana,Adams,US:Indiana:Adams,34614
US,Iowa,Adams,US:Iowa:Adams,3894
US,Mississippi,Adams,US:Mississippi:Adams,32090
US,Nebraska,Adams,US:Nebraska:Adams,31610
US,North Dakota,Adams,US:North Dakota:Adams,2360
US,Ohio,Adams,US:Ohio:Adams,28105
US,Pennsylvania,Adams,US:Pennsylvania:Adams,101546
US,Washington,Adams,US:Washington:Adams,19067
US,Wisconsin,Adams,US:Wisconsin:Adams,20480
US,Vermont,Addison,US:Vermont:Addison,36791
US,Puerto Rico,Adjuntas Municipality,US:Puerto Rico:Adjuntas Municipality,19483
US,Puerto Rico,Aguada Municipality,US:Puerto Rico:Aguada Municipality,41959
US,Puerto Rico,Aguadilla Municipality,US:Puerto Rico:Aguadilla Municipality,54582
US,Puerto Rico,Aguas Buenas Municipality,US:Puerto Rico:Aguas Buenas Municipality,28659
US,Puerto Rico,Aibonito Municipality,US:Puerto Rico:Aibonito Municipality,25900
US,South Carolina,Aiken,US:South Carolina:Aiken,164176
US,Minnesota,Aitkin,US:Minnesota:Aitkin,15742
US,Florida,Alachua,US:Florida:Alachua,253451
US,North Carolina,Alamance,US:North Carolina:Alamance,154378
US,California,Alameda,US:California:Alameda,1578891
US,Colorado,Alamosa,US:Colorado:Alamosa,16253
US,New York,Albany,US:New York:Albany,306945
US,Wyoming,Albany,US:Wyoming:Albany,37422
US,Virginia,Albemarle,US:Virginia:Albemarle,103000
US,Michigan,Alcona,US:Michigan:Alcona,10578
US,Mississippi,Alcorn,US:Mississippi:Alcorn,37316
US,Alaska,Aleutians East,US:Alaska:Aleutians East,3092
US,Alaska,Aleutians West,US:Alaska:Aleutians West,5511
US,Illinois,Alexander,US:Illinois:Alexander,7629
US,North Carolina,Alexander,US:North Carolina:Alexander,36930
US,Virginia,"Alexandria, City of","US:Virginia:Alexandria, City of",148892
US,Oklahoma,Alfalfa,US:Oklahoma:Alfalfa,5847
US,Michigan,Alger,US:Michigan:Alger,9522
US,Iowa,Allamakee,US:Iowa:Allamakee,14169
US,Michigan,Allegan,US:Michigan:Allegan,112531
US,Maryland,Allegany,US:Maryland:Allegany,73521
US,New York,Allegany,US:New York:Allegany,48109
US,North Carolina,Alleghany,US:North Carolina:Alleghany,10939
US,Virginia,Alleghany,US:Virginia:Alleghany,16161
US,Pennsylvania,Allegheny,US:Pennsylvania:Allegheny,1231527
US,Indiana,Allen,US:Indiana:Allen,363014
US,Kansas,Allen,US:Kansas:Allen,13124
US,Kentucky,Allen,US:Kentucky:Allen,20311
US,Louisiana,Allen,US:Louisiana:Allen,25537
US,Ohio,Allen,US:Ohio:Allen,105298
US,South Carolina,Allendale,US:South Carolina:Allendale,9839
US,Michigan,Alpena,US:Michigan:Alpena,29091
US,California,Alpine,US:California:Alpine,1159
US,California,Amador,US:California:Amador,36519
US,Virginia,Amelia,US:Virginia:Amelia,12745
US,Virginia,Amherst,US:Virginia:Amherst,32178
US,Mississippi,Amite,US:Mississippi:Amite,12899
US,Puerto Rico,Añasco Municipality,US:Puerto Rico:Añasco Municipality,29261
US,Alaska,Anchorage,US:Alaska:Anchorage,300950
US,Kansas,Anderson,US:Kansas:Anderson,7897
US,Kentucky,Anderson,US:Kentucky:Anderson,21811
US,South Carolina,Anderson,US:South Carolina:Anderson,190641
US,Tennessee,Anderson,US:Tennessee:Anderson,75542
US,Texas,Anderson,US:Texas:Anderson,57938
US,Missouri,Andrew,US:Missouri:Andrew,17445
US,Texas,Andrews,US:Texas:Andrews,16799
US,Maine,Androscoggin,US:Maine:Androscoggin,107604
US,Texas,Angelina,US:Texas:Angelina,87441
US,Maryland,Anne Arundel,US:Maryland:Anne Arundel,555743
US,Minnesota,Anoka,US:Minnesota:Anoka,339534
US,North Carolina,Anson,US:North Carolina:Anson,26161
US,Nebraska,Antelope,US:Nebraska:Antelope,6456
US,Michigan,Antrim,US:Michigan:Antrim,23370
US,Arizona,Apache,US:Arizona:Apache,71934
US,Iowa,Appanoose,US:Iowa:Appanoose,12692
US,Georgia,Appling,US:Georgia:Appling,18440
US,Virginia,Appomattox,US:Virginia:Appomattox,15255
US,Texas,Aransas,US:Texas:Aransas,24356
US,Colorado,Arapahoe,US:Colorado:Arapahoe,607070
US,Texas,Archer,US:Texas:Archer,8681
US,Colorado,Archuleta,US:Colorado:Archuleta,12194
US,Puerto Rico,Arecibo Municipality,US:Puerto Rico:Arecibo Municipality,96440
US,Michigan,Arenac,US:Michigan:Arenac,15487
US,Arkansas,Arkansas,US:Arkansas:Arkansas,18777
US,Virginia,Arlington,US:Virginia:Arlington,224906
US,Pennsylvania,Armstrong,US:Pennsylvania:Armstrong,68107
US,Texas,Armstrong,US:Texas:Armstrong,1949
US,Maine,Aroostook,US:Maine:Aroostook,70055
US,Puerto Rico,Arroyo Municipality,US:Puerto Rico:Arroyo Municipality,19575
US,Nebraska,Arthur,US:Nebraska:Arthur,458
US,Louisiana,Ascension,US:Louisiana:Ascension,114393
US,North Carolina,Ashe,US:North Carolina:Ashe,27151
US,Ohio,Ashland,US:Ohio:Ashland,53043
US,Wisconsin,Ashland,US:Wisconsin:Ashland,16016
US,Arkansas,Ashley,US:Arkansas:Ashley,21283
US,Ohio,Ashtabula,US:Ohio:Ashtabula,99811
US,Washington,Asotin,US:Washington:Asotin,22110
US,Louisiana,Assumption,US:Louisiana:Assumption,23187
US,Texas,Atascosa,US:Texas:Atascosa,47093
US,Kansas,Atchison,US:Kansas:Atchison,16749
US,Missouri,Atchison,US:Missouri:Atchison,5449
US,Ohio,Athens,US:Ohio:Athens,64681
US,Georgia,Atkinson,US:Georgia:Atkinson,8290
US,New Jersey,Atlantic,US:New Jersey:Atlantic,275862
US,Oklahoma,Atoka,US:Oklahoma:Atoka,13898
US,Mississippi,Attala,US:Mississippi:Attala,19317
US,Missouri,Audrain,US:Missouri:Audrain,25661
US,Iowa,Audubon,US:Iowa:Audubon,5873
US,Ohio,Auglaize,US:Ohio:Auglaize,45920
US,Virginia,Augusta,US:Virginia:Augusta,73912
US,South Dakota,Aurora,US:South Dakota:Aurora,2720
US,Texas,Austin,US:Texas:Austin,28847
US,Alabama,Autauga,US:Alabama:Autauga,55246
US,North Carolina,Avery,US:North Carolina:Avery,17713
US,Louisiana,Avoyelles,US:Louisiana:Avoyelles,41299
US,Colorado,Baca,US:Colorado:Baca,3682
US,Georgia,Bacon,US:Georgia:Bacon,11216
US,Texas,Bailey,US:Texas:Bailey,7114
US,U.S. Minor Outlying Islands,Bajo Nuevo Bank,US:U.S. Minor Outlying Islands:Bajo Nuevo Bank,0
US,Florida,Baker,US:Florida:Baker,27013
US,Georgia,Baker,US:Georgia:Baker,3341
US,Oregon,Baker,US:Oregon:Baker,16018
US,U.S. Minor Outlying Islands,Baker Island,US:U.S. Minor Outlying Islands:Baker Island,0
US,Alabama,Baldwin,US:Alabama:Baldwin,195540
US,Georgia,Baldwin,US:Georgia:Baldwin,46039
US,Kentucky,Ballard,US:Kentucky:Ballard,8332
US,Maryland,Baltimore,US:Maryland:Baltimore,823015
US,Maryland,Baltimore City,US:Maryland:Baltimore City,622104
US,South Carolina,Bamberg,US:South Carolina:Bamberg,15430
US,Texas,Bandera,US:Texas:Bandera,20601
US,Georgia,Banks,US:Georgia:Banks,18415
US,Nebraska,Banner,US:Nebraska:Banner,759
US,Idaho,Bannock,US:Idaho:Bannock,83249
US,Michigan,Baraga,US:Michigan:Baraga,8695
US,Kansas,Barber,US:Kansas:Barber,4947
US,Alabama,Barbour,US:Alabama:Barbour,27076
US,West Virginia,Barbour,US:West Virginia:Barbour,16770
US,Puerto Rico,Barceloneta Municipality,US:Puerto Rico:Barceloneta Municipality,24816
US,North Dakota,Barnes,US:North Dakota:Barnes,11190
US,Massachusetts,Barnstable,US:Massachusetts:Barnstable,214990
US,South Carolina,Barnwell,US:South Carolina:Barnwell,22119
US,Puerto Rico,Barranquitas Municipality,US:Puerto Rico:Barranquitas Municipality,30318
US,Kentucky,Barren,US:Kentucky:Barren,43027
US,Wisconsin,Barron,US:Wisconsin:Barron,45676
US,Georgia,Barrow,US:Georgia:Barrow,71453
US,Michigan,Barry,US:Michigan:Barry,59097
US,Missouri,Barry,US:Missouri:Barry,35572
US,Indiana,Bartholomew,US:Indiana:Bartholomew,79587
US,Kansas,Barton,US:Kansas:Barton,27509
US,Missouri,Barton,US:Missouri:Barton,12275
US,Georgia,Bartow,US:Georgia:Bartow,101273
US,Texas,Bastrop,US:Texas:Bastrop,75825
US,Missouri,Bates,US:Missouri:Bates,16550
US,Kentucky,Bath,US:Kentucky:Bath,11961
US,Virginia,Bath,US:Virginia:Bath,4616
US,Arkansas,Baxter,US:Arkansas:Baxter,40957
US,Florida,Bay,US:Florida:Bay,174987
US,Michigan,Bay,US:Michigan:Bay,106832
US,Puerto Rico,Bayamón Municipality,US:Puerto Rico:Bayamón Municipality,208116
US,Wisconsin,Bayfield,US:Wisconsin:Bayfield,15156
US,Texas,Baylor,US:Texas:Baylor,3614
US,South Dakota,Beadle,US:South Dakota:Beadle,18080
US,Idaho,Bear Lake,US:Idaho:Bear Lake,5943
US,North Carolina,Beaufort,US:North Carolina:Beaufort,47464
US,South Carolina,Beaufort,US:South Carolina:Beaufort,171838
US,Louisiana,Beauregard,US:Louisiana:Beauregard,36167
US,Oklahoma,Beaver,US:Oklahoma:Beaver,5566
US,Pennsylvania,Beaver,US:Pennsylvania:Beaver,170115
US,Utah,Beaver,US:Utah:Beaver,6459
US,Montana,Beaverhead,US:Montana:Beaverhead,9341
US,Minnesota,Becker,US:Minnesota:Becker,33231
US,Oklahoma,Beckham,US:Oklahoma:Beckham,23637
US,Pennsylvania,Bedford,US:Pennsylvania:Bedford,49055
US,Tennessee,Bedford,US:Tennessee:Bedford,45901
US,Virginia,Bedford,US:Virginia:Bedford,75773
US,Texas,Bee,US:Texas:Bee,32799
US,New Hampshire,Belknap,US:New Hampshire:Belknap,60179
US,Kentucky,Bell,US:Kentucky:Bell,27885
US,Texas,Bell,US:Texas:Bell,326843
US,Ohio,Belmont,US:Ohio:Belmont,69571
US,Minnesota,Beltrami,US:Minnesota:Beltrami,45670
US,Georgia,Ben Hill,US:Georgia:Ben Hill,17515
US,Idaho,Benewah,US:Idaho:Benewah,9044
US,South Dakota,Bennett,US:South Dakota:Bennett,3452
US,Vermont,Bennington,US:Vermont:Bennington,36659
US,North Dakota,Benson,US:North Dakota:Benson,6877
US,Colorado,Bent,US:Colorado:Bent,5688
US,Arkansas,Benton,US:Arkansas:Benton,237297
US,Indiana,Benton,US:Indiana:Benton,8767
US,Iowa,Benton,US:Iowa:Benton,25699
US,Minnesota,Benton,US:Minnesota:Benton,39214
US,Mississippi,Benton,US:Mississippi:Benton,8571
US,Missouri,Benton,US:Missouri:Benton,18932
US,Oregon,Benton,US:Oregon:Benton,86591
US,Tennessee,Benton,US:Tennessee:Benton,16290
US,Washington,Benton,US:Washington:Benton,184486
US,Michigan,Benzie,US:Michigan:Benzie,17428
US,New Jersey,Bergen,US:New Jersey:Bergen,925328
US,South Carolina,Berkeley,US:South Carolina:Berkeley,194020
US,West Virginia,Berkeley,US:West Virginia:Berkeley,108706
US,Pennsylvania,Berks,US:Pennsylvania:Berks,413521
US,Massachusetts,Berkshire,US:Massachusetts:Berkshire,129585
US,New Mexico,Bernalillo,US:New Mexico:Bernalillo,674221
US,Georgia,Berrien,US:Georgia:Berrien,19048
US,Michigan,Berrien,US:Michigan:Berrien,155252
US,North Carolina,Bertie,US:North Carolina:Bertie,20344
US,Alaska,Bethel,US:Alaska:Bethel,17758
US,Texas,Bexar,US:Texas:Bexar,1817610
US,Alabama,Bibb,US:Alabama:Bibb,22512
US,Georgia,Bibb,US:Georgia:Bibb,154721
US,Louisiana,Bienville,US:Louisiana:Bienville,13981
US,Montana,Big Horn,US:Montana:Big Horn,13042
US,Wyoming,Big Horn,US:Wyoming:Big Horn,11994
US,Minnesota,Big Stone,US:Minnesota:Big Stone,5122
US,North Dakota,Billings,US:North Dakota:Billings,874
US,Idaho,Bingham,US:Idaho:Bingham,45290
US,Iowa,Black Hawk,US:Iowa:Black Hawk,132546
US,Indiana,Blackford,US:Indiana:Blackford,12481
US,North Carolina,Bladen,US:North Carolina:Bladen,34843
US,Idaho,Blaine,US:Idaho:Blaine,21329
US,Montana,Blaine,US:Montana:Blaine,6604
US,Nebraska,Blaine,US:Nebraska:Blaine,482
US,Oklahoma,Blaine,US:Oklahoma:Blaine,9720
US,Pennsylvania,Blair,US:Pennsylvania:Blair,126314
US,Texas,Blanco,US:Texas:Blanco,10723
US,Virginia,Bland,US:Virginia:Bland,6735
US,Georgia,Bleckley,US:Georgia:Bleckley,12771
US,Tennessee,Bledsoe,US:Tennessee:Bledsoe,12841
US,Alabama,Blount,US:Alabama:Blount,57872
US,Tennessee,Blount,US:Tennessee:Blount,125099
US,Minnesota,Blue Earth,US:Minnesota:Blue Earth,65528
US,Idaho,Boise,US:Idaho:Boise,6795
US,Mississippi,Bolivar,US:Mississippi:Bolivar,34049
US,Missouri,Bollinger,US:Missouri:Bollinger,12490
US,South Dakota,Bon Homme,US:South Dakota:Bon Homme,7046
US,Illinois,Bond,US:Illinois:Bond,17470
US,Idaho,Bonner,US:Idaho:Bonner,40699
US,Idaho,Bonneville,US:Idaho:Bonneville,107517
US,Arkansas,Boone,US:Arkansas:Boone,37396
US,Illinois,Boone,US:Illinois:Boone,53957
US,Indiana,Boone,US:Indiana:Boone,60477
US,Iowa,Boone,US:Iowa:Boone,26364
US,Kentucky,Boone,US:Kentucky:Boone,124442
US,Missouri,Boone,US:Missouri:Boone,170773
US,Nebraska,Boone,US:Nebraska:Boone,5388
US,West Virginia,Boone,US:West Virginia:Boone,24224
US,Texas,Borden,US:Texas:Borden,637
US,Texas,Bosque,US:Texas:Bosque,17855
US,Louisiana,Bossier,US:Louisiana:Bossier,123823
US,Virginia,Botetourt,US:Virginia:Botetourt,33002
US,North Dakota,Bottineau,US:North Dakota:Bottineau,6736
US,Colorado,Boulder,US:Colorado:Boulder,310048
US,Idaho,Boundary,US:Idaho:Boundary,10853
US,Kansas,Bourbon,US:Kansas:Bourbon,14852
US,Kentucky,Bourbon,US:Kentucky:Bourbon,19998
US,Texas,Bowie,US:Texas:Bowie,93487
US,North Dakota,Bowman,US:North Dakota:Bowman,3214
US,Nebraska,Box Butte,US:Nebraska:Box Butte,11305
US,Utah,Box Elder,US:Utah:Box Elder,50794
US,Kentucky,Boyd,US:Kentucky:Boyd,48886
US,Nebraska,Boyd,US:Nebraska:Boyd,2032
US,Kentucky,Boyle,US:Kentucky:Boyle,29013
US,Kentucky,Bracken,US:Kentucky:Bracken,8416
US,Florida,Bradford,US:Florida:Bradford,26850
US,Pennsylvania,Bradford,US:Pennsylvania:Bradford,62316
US,Arkansas,Bradley,US:Arkansas:Bradley,11249
US,Tennessee,Bradley,US:Tennessee:Bradley,101848
US,Michigan,Branch,US:Michigan:Branch,43649
US,Georgia,Brantley,US:Georgia:Brantley,18292
US,West Virginia,Braxton,US:West Virginia:Braxton,14502
US,Texas,Brazoria,US:Texas:Brazoria,330242
US,Texas,Brazos,US:Texas:Brazos,203164
US,Kentucky,Breathitt,US:Kentucky:Breathitt,13545
US,Kentucky,Breckinridge,US:Kentucky:Breckinridge,20040
US,Iowa,Bremer,US:Iowa:Bremer,24624
US,Florida,Brevard,US:Florida:Brevard,550823
US,Texas,Brewster,US:Texas:Brewster,9286
US,Texas,Briscoe,US:Texas:Briscoe,1537
US,Massachusetts,Bristol,US:Massachusetts:Bristol,552780
US,Rhode Island,Bristol,US:Rhode Island:Bristol,49220
US,Alaska,Bristol Bay,US:Alaska:Bristol Bay,960
US,Virginia,"Bristol, City of","US:Virginia:Bristol, City of",17341
US,Montana,Broadwater,US:Montana:Broadwater,5692
US,New York,Bronx,US:New York:Bronx,1418733
US,West Virginia,Brooke,US:West Virginia:Brooke,23737
US,South Dakota,Brookings,US:South Dakota:Brookings,32968
US,Georgia,Brooks,US:Georgia:Brooks,15516
US,Texas,Brooks,US:Texas:Brooks,7237
US,New York,Broome,US:New York:Broome,197534
US,Colorado,"Broomfield, City and County of","US:Colorado:Broomfield, City and County of",59471
US,Florida,Broward,US:Florida:Broward,1838844
US,Illinois,Brown,US:Illinois:Brown,6860
US,Indiana,Brown,US:Indiana:Brown,15023
US,Kansas,Brown,US:Kansas:Brown,9997
US,Minnesota,Brown,US:Minnesota:Brown,25332
US,Nebraska,Brown,US:Nebraska:Brown,2926
US,Ohio,Brown,US:Ohio:Brown,44264
US,South Dakota,Brown,US:South Dakota:Brown,37907
US,Texas,Brown,US:Texas:Brown,37749
US,Wisconsin,Brown,US:Wisconsin:Brown,254586
US,South Dakota,Brule,US:South Dakota:Brule,5366
US,North Carolina,Brunswick,US:North Carolina:Brunswick,115301
US,Virginia,Brunswick,US:Virginia:Brunswick,16973
US,Georgia,Bryan,US:Georgia:Bryan,33157
US,Oklahoma,Bryan,US:Oklahoma:Bryan,44244
US,Iowa,Buchanan,US:Iowa:Buchanan,20976
US,Missouri,Buchanan,US:Missouri:Buchanan,89631
US,Virginia,Buchanan,US:Virginia:Buchanan,23597
US,Virginia,Buckingham,US:Virginia:Buckingham,17136
US,Pennsylvania,Bucks,US:Pennsylvania:Bucks,626976
US,Iowa,Buena Vista,US:Iowa:Buena Vista,20567
US,Virginia,"Buena Vista, City of","US:Virginia:Buena Vista, City of",6680
US,Nebraska,Buffalo,US:Nebraska:Buffalo,47893
US,South Dakota,Buffalo,US:South Dakota:Buffalo,2024
US,Wisconsin,Buffalo,US:Wisconsin:Buffalo,13357
US,Kentucky,Bullitt,US:Kentucky:Bullitt,76854
US,Georgia,Bulloch,US:Georgia:Bulloch,71214
US,Alabama,Bullock,US:Alabama:Bullock,10639
US,North Carolina,Buncombe,US:North Carolina:Buncombe,247912
US,Illinois,Bureau,US:Illinois:Bureau,34056
US,Georgia,Burke,US:Georgia:Burke,22923
US,North Carolina,Burke,US:North Carolina:Burke,89842
US,North Dakota,Burke,US:North Dakota:Burke,2306
US,North Dakota,Burleigh,US:North Dakota:Burleigh,88457
US,Texas,Burleson,US:Texas:Burleson,17169
US,New Jersey,Burlington,US:New Jersey:Burlington,450838
US,Texas,Burnet,US:Texas:Burnet,43823
US,Wisconsin,Burnett,US:Wisconsin:Burnett,15333
US,Nebraska,Burt,US:Nebraska:Burt,6574
US,Alabama,Butler,US:Alabama:Butler,20265
US,Iowa,Butler,US:Iowa:Butler,15021
US,Kansas,Butler,US:Kansas:Butler,65803
US,Kentucky,Butler,US:Kentucky:Butler,12793
US,Missouri,Butler,US:Missouri:Butler,43083
US,Nebraska,Butler,US:Nebraska:Butler,8312
US,Ohio,Butler,US:Ohio:Butler,371272
US,Pennsylvania,Butler,US:Pennsylvania:Butler,185476
US,California,Butte,US:California:Butte,222090
US,Idaho,Butte,US:Idaho:Butte,2642
US,South Dakota,Butte,US:South Dakota:Butte,10330
US,Georgia,Butts,US:Georgia:Butts,23361
US,North Carolina,Cabarrus,US:North Carolina:Cabarrus,187226
US,West Virginia,Cabell,US:West Virginia:Cabell,97133
US,Puerto Rico,Cabo Rojo Municipality,US:Puerto Rico:Cabo Rojo Municipality,50917
US,Utah,Cache,US:Utah:Cache,116909
US,Louisiana,Caddo,US:Louisiana:Caddo,254887
US,Oklahoma,Caddo,US:Oklahoma:Caddo,29594
US,Puerto Rico,Caguas Municipality,US:Puerto Rico:Caguas Municipality,142893
US,California,Calaveras,US:California:Calaveras,44515
US,Louisiana,Calcasieu,US:Louisiana:Calcasieu,195296
US,Kentucky,Caldwell,US:Kentucky:Caldwell,12823
US,Louisiana,Caldwell,US:Louisiana:Caldwell,9989
